<eObjectEntry  timestamp='1389610202801' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testAddRectangleToEmpty'/>
<eObjectEntry  timestamp='1389610204345' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389612695842' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testAddRectangleToEmpty'/>
<eObjectEntry  timestamp='1389612697380' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389612700372' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testAddRectangle'/>
<eObjectEntry  timestamp='1389612701920' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389612704823' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='junit test launch' value='testAddSameRectangle'/>
<eObjectEntry  timestamp='1389612706501' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389613730660' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389613732282' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389613993441' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389613995017' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389614797998' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389614799577' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389615535198' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389615536747' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389615636881' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389615638430' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389616150117' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389616151653' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389616488346' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='junit test launch' value='testAddSameRectangle'/>
<eObjectEntry  timestamp='1389616489895' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389616492373' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testUnion'/>
<eObjectEntry  timestamp='1389616494006' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
